#, ,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,
#, ,#, ,#, , , , , ,#,#,#,#, , , , , ,#, ,#, ,#, , , , , ,#,
#, ,#, ,#, ,#,#,#, ,#, , ,#, , , ,#, ,#, ,#, ,#,#,#,#,#, ,#,
#, ,#, ,#, ,#,#,#, ,#,#, ,#,#,#,#,#, ,#, ,#, ,#, , , ,#, ,#,
#, ,#, ,#, ,#,#,#, ,#, , , , , , ,#, ,#, ,#, ,#,#,#, ,#, ,#,
#, ,#, ,#, ,#,#,#, ,#, , ,#,#,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#,
#, ,#, ,#, ,#,#,#, ,#, , ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#,
#, ,#, ,#, ,#,#,#, ,#, , ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#,
#, , , , , , , , , , , , ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#, ,#,
#,#,#,#,#,#,#,#,#,#,#,#,#,#, ,#, ,#, ,#, , , , , , , , , ,#,
 , , , , , , , , , , , , , , ,#, ,#, ,#, ,#,#,#,#,#,#,#, ,#,
 ,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#, ,#, ,#, ,#, , , , ,#,#, ,#,
 , , , , , , , , , , , , , , , , , , ,#, ,#, ,#,#, ,#,#, ,#,
 ,#,#,#,#,#,#,#,#, ,#,#,#,#,#,#,#,#,#,#, ,#, ,#,#, ,#,#, ,#,
 ,#, , , , , , ,#, ,#, , , , , , , , , , ,#, ,#,#, ,#,#, ,#,
 ,#, ,#,#,#,#, ,#, ,#, ,#,#,#, ,#,#,#,#,#,#, ,#,#, ,#,#, ,#,
 ,#, ,#,#, ,#, ,#, ,#, , , ,#, ,#, , , , , , , , , ,#,#, ,#,
 ,#, ,#,#, ,#, ,#, ,#,#,#,#,#, ,#, ,#,#,#,#,#,#,#,#,#,#, ,#,
 ,#, ,#,#, ,#, ,#, , , , , , , ,#, ,#,#,#,#,#,#,#,#,#,#, ,#,
 ,#, ,#,#, ,#,#,#, ,#,#,#,#,#,#,#, ,#,#, , , , , , , , , ,#,
 ,#, ,#,#, , , , , ,#, , , , , , , ,#,#,#,#,#,#, ,#,#,#,#,#,
 ,#, , , , ,#,#,#,#,#, ,#,#,#,#,#,#,#,#,#, ,#,#, , , , , , ,
 ,#,#,#,#,#,#, , , , , ,#, , , , ,#,#,#, , ,#,#,#,#,#,#,#, ,
 , , , , , , , ,#,#,#,#,#, ,#,#,#,#, , , , , , , , , , ,#, ,
#,#,#,#,#,#,#,#,#, , , , , , , ,#,#, ,#,#,#,#,#,#,#,#,#,#, ,
#, , , , , , , , , ,#,#,#,#, , , , , , , , , , , , , , , , ,
#,#,#, , , , , , ,#,#,#, ,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,
 ,#,#, ,#,#,#,#, ,#, , , , , , ,#,#,#,#, , , , , , , , , , ,
 ,#,#, ,#,#,#,#, ,#,#,#,#,#, , ,#,#,#,#,#,#,#, ,#,#,#,#,#,#,
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
